NRO	ID	PVM	TUOTE	HINTA
9406	ASIAKAS_979	2.1.2014	C	50
9455	ASIAKAS_984	2.1.2014	C	50
9647	ASIAKAS_1004	2.1.2014	C	50
9779	ASIAKAS_1023	2.1.2014	C	50
10042	ASIAKAS_1061	2.1.2014	D	70
10287	ASIAKAS_1098	2.1.2014	D	70
11113	ASIAKAS_1227	2.1.2014	D	70
11264	ASIAKAS_1250	2.1.2014	D	70
11501	ASIAKAS_1316	2.1.2014	D	70
11669	ASIAKAS_1363	2.1.2014	E	100
11998	ASIAKAS_1457	2.1.2014	E	100
12187	ASIAKAS_1509	2.1.2014	B	25
12193	ASIAKAS_1511	2.1.2014	A	10
12471	ASIAKAS_1592	2.1.2014	E	100
173	ASIAKAS_19	3.1.2014	C	50
530	ASIAKAS_56	3.1.2014	C	50
579	ASIAKAS_61	3.1.2014	B	25
1570	ASIAKAS_165	3.1.2014	A	10
1636	ASIAKAS_172	3.1.2014	C	50
1686	ASIAKAS_177	3.1.2014	B	25
1846	ASIAKAS_194	3.1.2014	C	50
2836	ASIAKAS_298	3.1.2014	A	10
3787	ASIAKAS_399	3.1.2014	C	50
4151	ASIAKAS_436	3.1.2014	A	10
4216	ASIAKAS_443	3.1.2014	A	10
4446	ASIAKAS_466	3.1.2014	A	10
4492	ASIAKAS_471	3.1.2014	A	10
4866	ASIAKAS_509	3.1.2014	B	25
4898	ASIAKAS_512	3.1.2014	A	10
4936	ASIAKAS_516	3.1.2014	A	10
5413	ASIAKAS_565	3.1.2014	B	25
5704	ASIAKAS_595	3.1.2014	C	50
5911	ASIAKAS_616	3.1.2014	C	50
6496	ASIAKAS_677	3.1.2014	B	25
6550	ASIAKAS_682	3.1.2014	B	25
6606	ASIAKAS_688	3.1.2014	B	25
6868	ASIAKAS_715	3.1.2014	A	10
6907	ASIAKAS_719	3.1.2014	B	25
7422	ASIAKAS_773	3.1.2014	A	10
7797	ASIAKAS_812	3.1.2014	C	50
8013	ASIAKAS_835	3.1.2014	A	10
8049	ASIAKAS_839	3.1.2014	C	50
8135	ASIAKAS_848	3.1.2014	C	50
9328	ASIAKAS_971	3.1.2014	A	10
9348	ASIAKAS_973	3.1.2014	C	50
9739	ASIAKAS_1017	3.1.2014	C	50
11061	ASIAKAS_1219	3.1.2014	D	70
11286	ASIAKAS_1256	3.1.2014	D	70
11408	ASIAKAS_1290	3.1.2014	D	70
11526	ASIAKAS_1322	3.1.2014	D	70
11821	ASIAKAS_1406	3.1.2014	D	70
12046	ASIAKAS_1469	3.1.2014	E	100
12137	ASIAKAS_1495	3.1.2014	D	70
12363	ASIAKAS_1562	3.1.2014	B	25
12490	ASIAKAS_1597	3.1.2014	D	70
12528	ASIAKAS_1608	3.1.2014	B	25
12676	ASIAKAS_1653	3.1.2014	E	100
354	ASIAKAS_38	4.1.2014	B	25
512	ASIAKAS_54	4.1.2014	A	10
561	ASIAKAS_59	4.1.2014	B	25
1148	ASIAKAS_121	4.1.2014	C	50
1360	ASIAKAS_143	4.1.2014	A	10
2045	ASIAKAS_215	4.1.2014	C	50
2553	ASIAKAS_268	4.1.2014	C	50
3215	ASIAKAS_339	4.1.2014	C	50
3234	ASIAKAS_341	4.1.2014	C	50
3261	ASIAKAS_344	4.1.2014	C	50
3430	ASIAKAS_361	4.1.2014	C	50
3857	ASIAKAS_406	4.1.2014	B	25
3888	ASIAKAS_409	4.1.2014	C	50
4436	ASIAKAS_465	4.1.2014	B	25
5238	ASIAKAS_547	4.1.2014	A	10
5604	ASIAKAS_584	4.1.2014	C	50
5620	ASIAKAS_586	4.1.2014	A	10
5629	ASIAKAS_587	4.1.2014	B	25
6025	ASIAKAS_628	4.1.2014	A	10
6217	ASIAKAS_648	4.1.2014	B	25
6800	ASIAKAS_708	4.1.2014	A	10
7710	ASIAKAS_803	4.1.2014	A	10
7719	ASIAKAS_804	4.1.2014	C	50
7890	ASIAKAS_822	4.1.2014	C	50
8114	ASIAKAS_846	4.1.2014	B	25
8951	ASIAKAS_932	4.1.2014	B	25
9161	ASIAKAS_954	4.1.2014	C	50
9252	ASIAKAS_963	4.1.2014	C	50
9887	ASIAKAS_1038	4.1.2014	D	70
10947	ASIAKAS_1201	4.1.2014	D	70
11534	ASIAKAS_1324	4.1.2014	E	100
12382	ASIAKAS_1567	4.1.2014	C	50
277	ASIAKAS_30	5.1.2014	C	50
900	ASIAKAS_95	5.1.2014	A	10
1129	ASIAKAS_119	5.1.2014	B	25
1533	ASIAKAS_161	5.1.2014	A	10
1629	ASIAKAS_171	5.1.2014	B	25
2084	ASIAKAS_219	5.1.2014	A	10
2416	ASIAKAS_254	5.1.2014	A	10
2434	ASIAKAS_256	5.1.2014	B	25
2881	ASIAKAS_303	5.1.2014	A	10
3442	ASIAKAS_362	5.1.2014	A	10
3849	ASIAKAS_405	5.1.2014	A	10
3937	ASIAKAS_414	5.1.2014	B	25
4266	ASIAKAS_448	5.1.2014	A	10
4365	ASIAKAS_458	5.1.2014	A	10
4694	ASIAKAS_492	5.1.2014	B	25
5485	ASIAKAS_572	5.1.2014	B	25
5555	ASIAKAS_579	5.1.2014	B	25
5813	ASIAKAS_606	5.1.2014	C	50
7173	ASIAKAS_746	5.1.2014	B	25
7312	ASIAKAS_761	5.1.2014	C	50
7768	ASIAKAS_809	5.1.2014	B	25
8393	ASIAKAS_875	5.1.2014	B	25
8621	ASIAKAS_898	5.1.2014	B	25
8695	ASIAKAS_906	5.1.2014	C	50
9074	ASIAKAS_945	5.1.2014	C	50
9753	ASIAKAS_1019	5.1.2014	D	70
10245	ASIAKAS_1092	5.1.2014	C	50
10948	ASIAKAS_1201	5.1.2014	C	50
11569	ASIAKAS_1333	5.1.2014	D	70
11677	ASIAKAS_1365	5.1.2014	E	100
12149	ASIAKAS_1499	5.1.2014	E	100
12530	ASIAKAS_1609	5.1.2014	C	50
12663	ASIAKAS_1649	5.1.2014	C	50
96	ASIAKAS_11	6.1.2014	A	10
325	ASIAKAS_35	6.1.2014	C	50
475	ASIAKAS_50	6.1.2014	A	10
531	ASIAKAS_56	6.1.2014	C	50
701	ASIAKAS_74	6.1.2014	A	10
1215	ASIAKAS_128	6.1.2014	C	50
1266	ASIAKAS_133	6.1.2014	B	25
1778	ASIAKAS_187	6.1.2014	B	25
2152	ASIAKAS_226	6.1.2014	C	50
2178	ASIAKAS_229	6.1.2014	C	50
2187	ASIAKAS_230	6.1.2014	C	50
2188	ASIAKAS_230	6.1.2014	C	50
2524	ASIAKAS_265	6.1.2014	C	50
2989	ASIAKAS_315	6.1.2014	B	25
3074	ASIAKAS_324	6.1.2014	A	10
3140	ASIAKAS_331	6.1.2014	A	10
3205	ASIAKAS_338	6.1.2014	A	10
3779	ASIAKAS_398	6.1.2014	A	10
3889	ASIAKAS_409	6.1.2014	A	10
4502	ASIAKAS_472	6.1.2014	B	25
5286	ASIAKAS_552	6.1.2014	C	50
6643	ASIAKAS_692	6.1.2014	B	25
6652	ASIAKAS_693	6.1.2014	C	50
6808	ASIAKAS_709	6.1.2014	C	50
7181	ASIAKAS_747	6.1.2014	B	25
7190	ASIAKAS_748	6.1.2014	C	50
7333	ASIAKAS_763	6.1.2014	B	25
7405	ASIAKAS_771	6.1.2014	A	10
7837	ASIAKAS_816	6.1.2014	C	50
8523	ASIAKAS_888	6.1.2014	B	25
9095	ASIAKAS_947	6.1.2014	A	10
9253	ASIAKAS_963	6.1.2014	B	25
9387	ASIAKAS_977	6.1.2014	A	10
9754	ASIAKAS_1019	6.1.2014	C	50
9780	ASIAKAS_1023	6.1.2014	C	50
10128	ASIAKAS_1075	6.1.2014	C	50
10700	ASIAKAS_1163	6.1.2014	D	70
10738	ASIAKAS_1169	6.1.2014	C	50
11072	ASIAKAS_1221	6.1.2014	C	50
11127	ASIAKAS_1229	6.1.2014	C	50
11243	ASIAKAS_1247	6.1.2014	D	70
11409	ASIAKAS_1290	6.1.2014	D	70
11462	ASIAKAS_1305	6.1.2014	D	70
12343	ASIAKAS_1556	6.1.2014	C	50
12357	ASIAKAS_1560	6.1.2014	E	100
12844	ASIAKAS_1700	6.1.2014	D	70
228	ASIAKAS_25	7.1.2014	C	50
691	ASIAKAS_73	7.1.2014	C	50
937	ASIAKAS_99	7.1.2014	C	50
1874	ASIAKAS_197	7.1.2014	C	50
2217	ASIAKAS_233	7.1.2014	A	10
2325	ASIAKAS_244	7.1.2014	C	50
2667	ASIAKAS_280	7.1.2014	A	10
3552	ASIAKAS_374	7.1.2014	C	50
3938	ASIAKAS_414	7.1.2014	C	50
4072	ASIAKAS_428	7.1.2014	B	25
4084	ASIAKAS_429	7.1.2014	C	50
4182	ASIAKAS_439	7.1.2014	A	10
4295	ASIAKAS_451	7.1.2014	B	25
4473	ASIAKAS_469	7.1.2014	A	10
4586	ASIAKAS_481	7.1.2014	B	25
4916	ASIAKAS_514	7.1.2014	C	50
5724	ASIAKAS_597	7.1.2014	A	10
5959	ASIAKAS_621	7.1.2014	C	50
6168	ASIAKAS_643	7.1.2014	A	10
6269	ASIAKAS_653	7.1.2014	A	10
6279	ASIAKAS_654	7.1.2014	B	25
7789	ASIAKAS_811	7.1.2014	B	25
8156	ASIAKAS_850	7.1.2014	B	25
8441	ASIAKAS_880	7.1.2014	C	50
8461	ASIAKAS_882	7.1.2014	C	50
8514	ASIAKAS_887	7.1.2014	B	25
9085	ASIAKAS_946	7.1.2014	B	25
9182	ASIAKAS_956	7.1.2014	C	50
9388	ASIAKAS_977	7.1.2014	A	10
10934	ASIAKAS_1199	7.1.2014	C	50
11054	ASIAKAS_1218	7.1.2014	D	70
11734	ASIAKAS_1383	7.1.2014	E	100
11995	ASIAKAS_1456	7.1.2014	D	70
165	ASIAKAS_18	8.1.2014	B	25
425	ASIAKAS_45	8.1.2014	A	10
435	ASIAKAS_46	8.1.2014	C	50
723	ASIAKAS_76	8.1.2014	C	50
946	ASIAKAS_100	8.1.2014	A	10
1175	ASIAKAS_124	8.1.2014	B	25
1474	ASIAKAS_155	8.1.2014	A	10
1503	ASIAKAS_158	8.1.2014	A	10
1732	ASIAKAS_182	8.1.2014	A	10
2093	ASIAKAS_220	8.1.2014	B	25
2684	ASIAKAS_282	8.1.2014	A	10
3303	ASIAKAS_348	8.1.2014	B	25
3380	ASIAKAS_356	8.1.2014	B	25
3627	ASIAKAS_382	8.1.2014	A	10
4645	ASIAKAS_487	8.1.2014	C	50
4837	ASIAKAS_506	8.1.2014	A	10
5901	ASIAKAS_615	8.1.2014	B	25
6248	ASIAKAS_651	8.1.2014	B	25
6343	ASIAKAS_661	8.1.2014	C	50
6877	ASIAKAS_716	8.1.2014	A	10
7132	ASIAKAS_742	8.1.2014	A	10
7693	ASIAKAS_801	8.1.2014	A	10
7759	ASIAKAS_808	8.1.2014	C	50
7907	ASIAKAS_824	8.1.2014	C	50
7956	ASIAKAS_829	8.1.2014	C	50
8145	ASIAKAS_849	8.1.2014	C	50
8515	ASIAKAS_887	8.1.2014	C	50
9329	ASIAKAS_971	8.1.2014	A	10
9544	ASIAKAS_993	8.1.2014	C	50
9554	ASIAKAS_994	8.1.2014	A	10
9711	ASIAKAS_1013	8.1.2014	C	50
9821	ASIAKAS_1029	8.1.2014	C	50
9858	ASIAKAS_1034	8.1.2014	D	70
10258	ASIAKAS_1094	8.1.2014	C	50
10540	ASIAKAS_1138	8.1.2014	D	70
10760	ASIAKAS_1173	8.1.2014	C	50
10914	ASIAKAS_1196	8.1.2014	C	50
11728	ASIAKAS_1381	8.1.2014	D	70
11835	ASIAKAS_1410	8.1.2014	D	70
11956	ASIAKAS_1445	8.1.2014	D	70
12320	ASIAKAS_1550	8.1.2014	E	100
12440	ASIAKAS_1584	8.1.2014	A	10
12497	ASIAKAS_1599	8.1.2014	B	25
12516	ASIAKAS_1604	8.1.2014	B	25
182	ASIAKAS_20	9.1.2014	C	50
239	ASIAKAS_26	9.1.2014	B	25
502	ASIAKAS_53	9.1.2014	C	50
1301	ASIAKAS_137	9.1.2014	A	10
1331	ASIAKAS_140	9.1.2014	A	10
1523	ASIAKAS_160	9.1.2014	B	25
1552	ASIAKAS_163	9.1.2014	A	10
2846	ASIAKAS_299	9.1.2014	B	25
3216	ASIAKAS_339	9.1.2014	A	10
3332	ASIAKAS_351	9.1.2014	A	10
3497	ASIAKAS_368	9.1.2014	C	50
3839	ASIAKAS_404	9.1.2014	B	25
3858	ASIAKAS_406	9.1.2014	C	50
4529	ASIAKAS_475	9.1.2014	A	10
5092	ASIAKAS_532	9.1.2014	B	NA
6092	ASIAKAS_635	9.1.2014	C	50
6142	ASIAKAS_640	9.1.2014	B	25
6344	ASIAKAS_661	9.1.2014	B	25
6693	ASIAKAS_697	9.1.2014	B	25
6783	ASIAKAS_706	9.1.2014	B	25
7572	ASIAKAS_788	9.1.2014	B	25
7995	ASIAKAS_833	9.1.2014	A	10
8031	ASIAKAS_837	9.1.2014	C	50
8297	ASIAKAS_865	9.1.2014	A	10
8833	ASIAKAS_920	9.1.2014	C	50
8893	ASIAKAS_926	9.1.2014	B	25
9183	ASIAKAS_956	9.1.2014	B	25
9199	ASIAKAS_958	9.1.2014	B	25
9418	ASIAKAS_980	9.1.2014	B	25
9688	ASIAKAS_1010	9.1.2014	C	50
10085	ASIAKAS_1068	9.1.2014	D	70
11055	ASIAKAS_1218	9.1.2014	C	50
11275	ASIAKAS_1253	9.1.2014	D	70
11439	ASIAKAS_1298	9.1.2014	D	70
11762	ASIAKAS_1391	9.1.2014	D	70
11844	ASIAKAS_1412	9.1.2014	D	70
12243	ASIAKAS_1526	9.1.2014	C	50
12361	ASIAKAS_1561	9.1.2014	A	10
189	ASIAKAS_21	10.1.2014	B	25
503	ASIAKAS_53	10.1.2014	C	50
653	ASIAKAS_69	10.1.2014	B	25
1245	ASIAKAS_131	10.1.2014	A	10
1275	ASIAKAS_134	10.1.2014	C	50
1591	ASIAKAS_167	10.1.2014	B	25
1875	ASIAKAS_197	10.1.2014	A	10
2371	ASIAKAS_249	10.1.2014	C	50
2648	ASIAKAS_278	10.1.2014	A	10
3544	ASIAKAS_373	10.1.2014	B	25
3807	ASIAKAS_401	10.1.2014	B	25
4956	ASIAKAS_518	10.1.2014	B	25
5605	ASIAKAS_584	10.1.2014	B	25
5842	ASIAKAS_609	10.1.2014	B	25
5921	ASIAKAS_617	10.1.2014	C	50
6073	ASIAKAS_633	10.1.2014	A	10
6398	ASIAKAS_667	10.1.2014	B	25
6447	ASIAKAS_672	10.1.2014	C	50
7236	ASIAKAS_753	10.1.2014	B	25
7444	ASIAKAS_775	10.1.2014	A	10
7738	ASIAKAS_806	10.1.2014	B	25
8079	ASIAKAS_842	10.1.2014	B	25
9172	ASIAKAS_955	10.1.2014	B	25
9523	ASIAKAS_991	10.1.2014	B	25
9926	ASIAKAS_1044	10.1.2014	D	70
10207	ASIAKAS_1087	10.1.2014	D	70
10494	ASIAKAS_1131	10.1.2014	C	50
10553	ASIAKAS_1140	10.1.2014	C	50
10970	ASIAKAS_1205	10.1.2014	C	50
11582	ASIAKAS_1337	10.1.2014	D	70
11651	ASIAKAS_1357	10.1.2014	D	70
12298	ASIAKAS_1543	10.1.2014	A	10
12534	ASIAKAS_1610	10.1.2014	A	10
269	ASIAKAS_29	11.1.2014	A	10
571	ASIAKAS_60	11.1.2014	C	50
1216	ASIAKAS_128	11.1.2014	A	10
1675	ASIAKAS_176	11.1.2014	A	10
1816	ASIAKAS_191	11.1.2014	C	50
2513	ASIAKAS_264	11.1.2014	A	10
2621	ASIAKAS_275	11.1.2014	A	10
2944	ASIAKAS_310	11.1.2014	C	50
2990	ASIAKAS_315	11.1.2014	A	10
3244	ASIAKAS_342	11.1.2014	C	50
3352	ASIAKAS_353	11.1.2014	C	50
3664	ASIAKAS_386	11.1.2014	C	50
3876	ASIAKAS_408	11.1.2014	C	50
4285	ASIAKAS_450	11.1.2014	A	10
5217	ASIAKAS_545	11.1.2014	A	10
5444	ASIAKAS_568	11.1.2014	A	10
6113	ASIAKAS_637	11.1.2014	C	50
6280	ASIAKAS_654	11.1.2014	B	25
7618	ASIAKAS_793	11.1.2014	B	25
7862	ASIAKAS_819	11.1.2014	A	10
8375	ASIAKAS_873	11.1.2014	A	10
8462	ASIAKAS_882	11.1.2014	B	25
8735	ASIAKAS_910	11.1.2014	C	50
9389	ASIAKAS_977	11.1.2014	A	10
9907	ASIAKAS_1041	11.1.2014	C	50
10546	ASIAKAS_1139	11.1.2014	D	70
11134	ASIAKAS_1230	11.1.2014	C	50
12227	ASIAKAS_1522	11.1.2014	A	10
12502	ASIAKAS_1600	11.1.2014	D	70
12628	ASIAKAS_1638	11.1.2014	E	100
12766	ASIAKAS_1678	11.1.2014	A	10
136	ASIAKAS_15	12.1.2014	C	50
808	ASIAKAS_85	12.1.2014	B	25
985	ASIAKAS_104	12.1.2014	A	10
1758	ASIAKAS_185	12.1.2014	A	10
2525	ASIAKAS_265	12.1.2014	A	10
3044	ASIAKAS_321	12.1.2014	A	10
4062	ASIAKAS_427	12.1.2014	C	50
4345	ASIAKAS_456	12.1.2014	C	50
4474	ASIAKAS_469	12.1.2014	A	10
4877	ASIAKAS_510	12.1.2014	B	25
4937	ASIAKAS_516	12.1.2014	C	50
4995	ASIAKAS_522	12.1.2014	A	10
5149	ASIAKAS_538	12.1.2014	C	50
5505	ASIAKAS_574	12.1.2014	A	10
5506	ASIAKAS_574	12.1.2014	B	25
5621	ASIAKAS_586	12.1.2014	C	50
6103	ASIAKAS_636	12.1.2014	C	50
6476	ASIAKAS_675	12.1.2014	C	50
6682	ASIAKAS_696	12.1.2014	A	10
7015	ASIAKAS_730	12.1.2014	B	25
7054	ASIAKAS_734	12.1.2014	B	25
7122	ASIAKAS_741	12.1.2014	C	50
7590	ASIAKAS_790	12.1.2014	B	25
7966	ASIAKAS_830	12.1.2014	B	25
8003	ASIAKAS_834	12.1.2014	B	25
8080	ASIAKAS_842	12.1.2014	C	50
8081	ASIAKAS_842	12.1.2014	B	25
8357	ASIAKAS_871	12.1.2014	B	25
8472	ASIAKAS_883	12.1.2014	A	10
8747	ASIAKAS_911	12.1.2014	B	25
9377	ASIAKAS_976	12.1.2014	B	25
9836	ASIAKAS_1031	12.1.2014	C	50
10464	ASIAKAS_1126	12.1.2014	C	50
10663	ASIAKAS_1157	12.1.2014	C	50
10734	ASIAKAS_1168	12.1.2014	D	70
10893	ASIAKAS_1193	12.1.2014	C	50
11381	ASIAKAS_1282	12.1.2014	E	100
11645	ASIAKAS_1355	12.1.2014	D	70
12686	ASIAKAS_1656	12.1.2014	E	100
146	ASIAKAS_16	13.1.2014	C	50
636	ASIAKAS_67	13.1.2014	A	10
724	ASIAKAS_76	13.1.2014	B	25
901	ASIAKAS_95	13.1.2014	B	25
918	ASIAKAS_97	13.1.2014	C	50
1029	ASIAKAS_109	13.1.2014	B	25
1164	ASIAKAS_123	13.1.2014	B	25
1475	ASIAKAS_155	13.1.2014	A	10
2236	ASIAKAS_235	13.1.2014	C	50
2778	ASIAKAS_292	13.1.2014	A	10
2924	ASIAKAS_308	13.1.2014	B	25
3400	ASIAKAS_358	13.1.2014	B	25
3653	ASIAKAS_385	13.1.2014	A	10
4063	ASIAKAS_427	13.1.2014	C	50
4735	ASIAKAS_496	13.1.2014	B	25
4797	ASIAKAS_502	13.1.2014	B	25
5995	ASIAKAS_625	13.1.2014	A	10
6218	ASIAKAS_648	13.1.2014	A	10
6485	ASIAKAS_676	13.1.2014	A	10
7042	ASIAKAS_733	13.1.2014	A	10
7673	ASIAKAS_799	13.1.2014	C	50
7790	ASIAKAS_811	13.1.2014	C	50
7936	ASIAKAS_827	13.1.2014	A	10
8014	ASIAKAS_835	13.1.2014	B	25
8165	ASIAKAS_851	13.1.2014	A	10
8259	ASIAKAS_861	13.1.2014	B	25
8358	ASIAKAS_871	13.1.2014	B	25
8592	ASIAKAS_895	13.1.2014	A	10
9037	ASIAKAS_941	13.1.2014	C	50
9112	ASIAKAS_949	13.1.2014	C	50
9230	ASIAKAS_961	13.1.2014	B	25
9367	ASIAKAS_975	13.1.2014	A	10
9940	ASIAKAS_1046	13.1.2014	D	70
10067	ASIAKAS_1065	13.1.2014	D	70
10446	ASIAKAS_1123	13.1.2014	D	70
10941	ASIAKAS_1200	13.1.2014	D	70
12158	ASIAKAS_1501	13.1.2014	A	10
12222	ASIAKAS_1520	13.1.2014	E	100
12321	ASIAKAS_1550	13.1.2014	E	100
396	ASIAKAS_42	14.1.2014	A	10
532	ASIAKAS_56	14.1.2014	B	25
1119	ASIAKAS_118	14.1.2014	C	50
1254	ASIAKAS_132	14.1.2014	B	25
2016	ASIAKAS_212	14.1.2014	A	10
2314	ASIAKAS_243	14.1.2014	B	25
2335	ASIAKAS_245	14.1.2014	C	50
2472	ASIAKAS_260	14.1.2014	C	50
2482	ASIAKAS_261	14.1.2014	C	50
2582	ASIAKAS_271	14.1.2014	B	25
3607	ASIAKAS_380	14.1.2014	C	50
3850	ASIAKAS_405	14.1.2014	A	10
4406	ASIAKAS_462	14.1.2014	C	50
4838	ASIAKAS_506	14.1.2014	C	50
4966	ASIAKAS_519	14.1.2014	B	25
5197	ASIAKAS_543	14.1.2014	A	10
5300	ASIAKAS_554	14.1.2014	B	25
6005	ASIAKAS_626	14.1.2014	C	50
6177	ASIAKAS_644	14.1.2014	C	50
6380	ASIAKAS_665	14.1.2014	B	25
6448	ASIAKAS_672	14.1.2014	B	25
6486	ASIAKAS_676	14.1.2014	A	10
6838	ASIAKAS_712	14.1.2014	B	25
7502	ASIAKAS_781	14.1.2014	C	50
7512	ASIAKAS_782	14.1.2014	B	25
7564	ASIAKAS_787	14.1.2014	B	25
7657	ASIAKAS_797	14.1.2014	A	10
7674	ASIAKAS_799	14.1.2014	C	50
7908	ASIAKAS_824	14.1.2014	A	10
8329	ASIAKAS_868	14.1.2014	A	10
8484	ASIAKAS_884	14.1.2014	C	50
9397	ASIAKAS_978	14.1.2014	C	50
9513	ASIAKAS_990	14.1.2014	A	10
9799	ASIAKAS_1026	14.1.2014	D	70
9919	ASIAKAS_1043	14.1.2014	D	70
10027	ASIAKAS_1059	14.1.2014	C	50
10401	ASIAKAS_1116	14.1.2014	D	70
10618	ASIAKAS_1150	14.1.2014	D	70
10713	ASIAKAS_1165	14.1.2014	D	70
10953	ASIAKAS_1202	14.1.2014	D	70
11041	ASIAKAS_1216	14.1.2014	D	70
11697	ASIAKAS_1371	14.1.2014	D	70
11729	ASIAKAS_1381	14.1.2014	D	70
11749	ASIAKAS_1387	14.1.2014	E	100
11825	ASIAKAS_1407	14.1.2014	D	70
12150	ASIAKAS_1499	14.1.2014	E	100
12163	ASIAKAS_1502	14.1.2014	D	70
12329	ASIAKAS_1552	14.1.2014	A	10
12555	ASIAKAS_1615	14.1.2014	D	70
12724	ASIAKAS_1667	14.1.2014	C	50
551	ASIAKAS_58	15.1.2014	B	25
770	ASIAKAS_81	15.1.2014	B	25
1217	ASIAKAS_128	15.1.2014	B	25
1476	ASIAKAS_155	15.1.2014	A	10
2685	ASIAKAS_282	15.1.2014	C	50
2826	ASIAKAS_297	15.1.2014	B	25
3694	ASIAKAS_389	15.1.2014	C	50
3992	ASIAKAS_420	15.1.2014	C	50
4415	ASIAKAS_463	15.1.2014	B	25
6437	ASIAKAS_671	15.1.2014	B	25
7182	ASIAKAS_747	15.1.2014	C	50
7253	ASIAKAS_755	15.1.2014	C	50
7532	ASIAKAS_784	15.1.2014	B	25
7808	ASIAKAS_813	15.1.2014	A	10
7985	ASIAKAS_832	15.1.2014	A	10
8463	ASIAKAS_882	15.1.2014	A	10
8676	ASIAKAS_904	15.1.2014	C	50
9066	ASIAKAS_944	15.1.2014	C	50
9152	ASIAKAS_953	15.1.2014	C	50
9954	ASIAKAS_1048	15.1.2014	D	70
10573	ASIAKAS_1143	15.1.2014	D	70
11022	ASIAKAS_1213	15.1.2014	D	70
11382	ASIAKAS_1282	15.1.2014	D	70
11659	ASIAKAS_1360	15.1.2014	D	70
11813	ASIAKAS_1404	15.1.2014	D	70
11908	ASIAKAS_1429	15.1.2014	D	70
12094	ASIAKAS_1483	15.1.2014	D	70
12118	ASIAKAS_1490	15.1.2014	E	100
12159	ASIAKAS_1501	15.1.2014	B	25
12169	ASIAKAS_1504	15.1.2014	A	10
12558	ASIAKAS_1616	15.1.2014	A	10
12580	ASIAKAS_1623	15.1.2014	D	70
